"full_species","frac20","frac40","frac50","frac60","frac70","frac80","frac90","frac95"
"Allenopithecus_nigroviridis",0.974475218103547,0.96319859804183,0.953483942245419,0.936226141948265,0.889252923920911,0.714960569926473,0.259286068040687,0.0187816678730618
"Allochrocebus_lhoesti",0.975181759354421,0.963952647405885,0.955806783144913,0.940466674279624,0.899927676906094,0.740702675954474,0.282326519736592,0.0197936888584371
"Allochrocebus_preussi",0.976859630365053,0.965442187261341,0.957041393004429,0.941958148770429,0.900832442340003,0.740835497174278,0.28914006415152,0.0253551244844967
"Allochrocebus_solatus",0.975016668627682,0.963956543907126,0.954896654508374,0.937247519315998,0.884927638545711,0.684002039455622,0.183551006000706,0.00447111424873515
"Alouatta_belzebul",0.961283627364892,0.925680530055081,0.883092520156462,0.781551848008302,0.575317314600463,0.26814081583779,0.0194380138899976,7.9827572443522e-05
"Alouatta_caraya",0.960491275487897,0.911125243451647,0.865813426606781,0.763623355459279,0.55820978576255,0.253030724591597,0.0141102587543225,3.9747207758655e-05
"Alouatta_discolor",0.960141051547209,0.924680058639407,0.881809897381037,0.78144934426879,0.578152858671104,0.275842941479456,0.0223067474939578,0.000118863663378105
"Alouatta_juara",0.962418818311421,0.926738476160304,0.883137969269761,0.786789165214636,0.588191034373515,0.287858387454459,0.0270869634088389,0.000198004118485665
"Alouatta_macconnelli",0.95981208795547,0.923887726501125,0.878962536023055,0.777308436303344,0.574592396668114,0.271090758359323,0.0214756622320477,0.000118431960838498
"Alouatta_nigerrima",0.960887656033287,0.925262532197345,0.880443828016644,0.776421636615811,0.570001981375074,0.263760649891024,0.0187834357043788,3.96275014860313e-05
"Alouatta_palliata",0.970056766477445,0.938163539454869,0.897127009576635,0.800060666464445,0.602331325562248,0.297742340858864,0.0300298999003337,0.000346665511114963
"Alouatta_seniculus",0.958768164454771,0.921316898357815,0.872208876462017,0.763911314141693,0.552829519946442,0.251998582286457,0.0173669909030048,3.93809317528453e-05
"Aotus_azarae",0.965723592016059,0.935121008976253,0.893686323523842,0.796841268037723,0.602583039806083,0.309548157406355,0.04855508843692,0.00185584971404765
"Aotus_griseimembra",0.965865129333232,0.935598877342031,0.892361374497459,0.795494197071987,0.598422210422514,0.304634756883866,0.0455510885230979,0.00144125009481909
"Aotus_trivirgatus",0.971507172332482,0.940931420711338,0.898997838475142,0.803497740224013,0.606405973668697,0.31145608174494,0.0473963450579682,0.00137551581843191
"Aotus_vociferans",0.964468157566126,0.932720323911151,0.890036704885155,0.788246868732735,0.591478412229916,0.299050213796496,0.0430241798160972,0.00124872289703712
"Ateles_belzebuth",0.968085527618293,0.944327855870125,0.914353593347852,0.841734310037616,0.675747376757078,0.381350227677688,0.0642645020787963,0.00106909522866759
"Ateles_chamek",0.965864005970853,0.941116392347881,0.909180186196331,0.831559099658247,0.65172644066465,0.353065954354402,0.0489059983501591,0.000432101190242369
"Ateles_geoffroyi",0.970067971501106,0.946646466300876,0.918597985422979,0.848783883383834,0.686553107853575,0.396241094095488,0.0725165834084023,0.00217017443288838
"Ateles_marginatus",0.965024952957539,0.941176470588235,0.912051051296736,0.840996482042052,0.676470588235294,0.387711691074204,0.0686819929640841,0.0012271946330688
"Ateles_paniscus",0.968271029897687,0.941319320036626,0.911421633026792,0.840558939448226,0.675783271627055,0.384450017914726,0.066881643377523,0.0013137465663442
"Cacajao_ayresi",0.971453517063356,0.94632350149945,0.916410431613711,0.847929241164636,0.677865087499525,0.386212656113579,0.0641916258588619,0.00121474395475079
"Cacajao_calvus",0.968252166345026,0.94225602603398,0.910924433344685,0.838839066106633,0.660158171566958,0.365800128656298,0.051840920270935,0.000643281492413062
"Cacajao_hosomi",0.971152021256405,0.944961093186563,0.913342190168912,0.841791611311444,0.664642247105713,0.366141582843044,0.0524198140064528,0.000835073068893528
"Cacajao_melanocephalus",0.970791290493893,0.945413853273651,0.915105075487444,0.845762840452166,0.674190122145512,0.381040892193309,0.0602382216827251,0.00110006828010014
"Callimico_goeldii",0.967686751568143,0.930773617183045,0.884736742064246,0.775099790914275,0.56202242919597,0.255350693784452,0.0172590762212507,3.80155863904201e-05
"Cebuella_niveiventris",0.969527198394973,0.938524435022902,0.904606881932089,0.823219896278911,0.641972971949881,0.350418291251845,0.0546996252413219,0.000946360298292766
"Cebuella_pygmaea",0.972571908140688,0.941786831464103,0.907263294422827,0.82581826504921,0.642023346303502,0.345654993514916,0.0513847562371252,0.000686655985351339
"Cebus_albifrons",0.961739723949644,0.934741392385864,0.899552555740937,0.805892613377825,0.612771120885788,0.316206582739269,0.0462611861064766,0.00113757015015926
"Cebus_olivaceus",0.962559331687868,0.932902980823998,0.89891779001329,0.810973988988039,0.624302259350674,0.328460224036453,0.0524776912853617,0.0014809189291817
"Cebus_unicolor",0.960985781990521,0.93236018957346,0.89054028436019,0.779374407582938,0.569971563981043,0.272,0.0299905213270142,0.000227488151658768
"Cercocebus_chrysogaster",0.980207932229496,0.969965344628417,0.961956103195995,0.945591066615325,0.901386214863304,0.744050827878321,0.312514439738159,0.04909510974201
"Cercocebus_lunulatus",0.979911900964533,0.970228601807549,0.962406015037594,0.947102604997342,0.906394774815827,0.757120072909547,0.329422039948356,0.0532011847801322
"Cercocebus_torquatus",0.979804881752268,0.9694415973883,0.96154576168242,0.945981854762176,0.903086208860039,0.749724784572752,0.320616482557036,0.0517025395740804
"Cercopithecus_ascanius",0.969552987684355,0.956135015964726,0.945111753078911,0.925345902387107,0.876691500684203,0.703132127109624,0.245438649840353,0.0120495666717348
"Cercopithecus_cephus",0.969701577646835,0.955787873027941,0.944991446493062,0.925527466261167,0.877779889754799,0.710587340809732,0.263067857821707,0.0189317620224292
"Cercopithecus_diana",0.971248842235258,0.957780179067613,0.946781414016672,0.929492127199753,0.883297313985798,0.726574560049398,0.293107440568077,0.0329962951528249
"Cercopithecus_hamlyni",0.969189084575189,0.956493129475518,0.945655119024579,0.928391716663441,0.879775498354945,0.713760402554674,0.265840913489452,0.0227598219469712
"Cercopithecus_lowei",0.970381141894995,0.958403489973978,0.947382519516302,0.92981784784938,0.883897137609062,0.719233124138987,0.272233277208021,0.0229220878616256
"Cercopithecus_mitis",0.971200304356097,0.959140194027012,0.949248620886437,0.93376450447023,0.893361232642191,0.749400798934754,0.316606429522541,0.0386532242723987
"Cercopithecus_mona",0.973282880403623,0.960822535641937,0.950158620953255,0.932844092802813,0.885563582158009,0.721247563352826,0.276497343576807,0.0270993387608455
"Cercopithecus_neglectus",0.972682592296262,0.960681220710938,0.950965824665676,0.934354402407894,0.890196974892369,0.734369642244828,0.289937897664495,0.0292985865051244
"Cercopithecus_nictitans",0.970409249961966,0.957705766012475,0.947968963943405,0.931956488665754,0.890042598509052,0.743724326791419,0.315609310816979,0.0420279933059486
"Cercopithecus_petaurista",0.973625954198473,0.960343511450382,0.949503816793893,0.931946564885496,0.88706106870229,0.723893129770992,0.27912213740458,0.0246946564885496
"Cercopithecus_pogonias",0.973004918595341,0.960269950814047,0.949441415335341,0.932016624089679,0.887062950394631,0.727303923437679,0.285583558927823,0.0295878293361803
